格莫爾達島,Camorta,
聖克魯茲島,Santa Cruz Island,
查爾斯島 (努納福特),Charles Island,
普林西比岛,Príncipe,
阿邁厄島,Amager,
希望島,Hopen,
鸟岛,Fugloy,
拉吉德岛,Ragged Island,
鳩間島,Hatoma,
與路島,Yoroshima,
請島,Ukeshima,
马菲亚岛,Mafia Island,
查爾斯王子島,Prince Charles Island,
尼華島,Nihoa,
坎德爾默斯島,Candlemas Island,
路環,Coloane,
鼓浪屿,Gulangyu,
斯托爾博沃伊島,Stolbovoy Island,
沙美岛,Ko Samet,
父岛,Chichi-jima,
科爾皮諾島,Kolpina Island,
色丹島,Shikotan,
斯希蒙尼克島,Schiermonnikoog,
托尔蒂岛,Tortuga,
加羅韋島,Q688799,
桑岛,Sandoy,
皮庫島,Pico Island,
船岛,Skeppsholmen,
帕岸島,Ko Pha Ngan,
聖斯特凡島,Sveti Stefan,
希辛延島,Hisingen,
卡萊爾島,Carlisle Island,
比亞克島,Biak,
鴉洲,A Chau,
邦蓋島,Banggai,
雹暴島,Hailstorm Island,
中洲礁,Zhongzhou Reef,
大神島,Ōgami Island,
小濱島,Kohama Island,
池間島,Ikema Island,
海礁岛,Haijiao,
烏離島,Ubanarijima,
石垣島,Ishigaki Island,
聖伊莎貝爾島,Santa Isabel Island,
蘭嶼,Orchid Island,
馬基拉島,Makira,
氹仔,Taipa,
巴倫角島,Cape Barren Island,
瓜達盧普島,Guadalupe Island,
聖約翰島 (國王湖),Christlieger,
鴨洲白墩排,Ap Chau Pak Tun Pai,
拉代西拉德岛,La Désirade,
羅沙島,Roxa,
沙爾科島,Charcot Island,
奇西島,Chisi Island,
威德尔岛,Weddell Island,
伊吉金島,Igitkin Island,
大百慕達島,"Great Bermuda, Bermuda",
大马南岛,Grand Manan Island,
明古萊島,Mingulay,
莱特岛,Leyte,
坎加鲁岛,Kangaroo Island,
伊卡利亚岛,Icaria,
科尔特岛,Koltur,
聖米格爾島,São Miguel island,
動物園島,Djurgården,
聖米凱萊島,San Michele,
初島,Hatsushima,
太平島,Taiping Island,
法岛,Farø,
加計呂麻島,Kakeromajima,
耶莫島,Jemo Island,
奇斯曼島,Cheeseman Island,
圣萨尔瓦多岛,San Salvador Island,
沃兹罗日杰尼耶岛,Vozrozhdeniya island,
三宅島,Miyakejima,
城堡岛,Kastellholmen,
普拉夫尼克島,Plavnik,
焦拉島,Chowra Island,
維瓦拉島,Vivara,
赤鱲角,Chek Lap Kok,
阿拉莫德島,Alamode Island,
格林島,Q691701,
卡尔斯岛,Kalsoy,
赫馬島,Heimaey,
马岛,Hestur,
愛爾蘭島,Ireland Island,
亞恩島,Hjarnø,
博拉戴勒島,Borradaile Island,
德之島,Toku-no-shima,
水納島,Minna Island,
萊斯島,Læsø,
黑島,Kuro island,
彭佳嶼,Pengjia Islet,
卡普雷拉島,Caprera,
圣卡塔利娜岛,Santa Catalina Island,
聖瑪麗亞島,Q848240,
刘公岛,Liugong Island,
博阿茲島,Boaz Island,
卡菲克卢本岛,Kaffeklubben Island,
利文斯頓島,Livingston Island,
大鴉洲,Tai A Chau,
新普罗维登斯岛,New Providence,
列昂季耶夫島,Q1112718,
克拉里翁岛,Clarion Island,
倫敦德里島,Londonderry Island,
安波沙洲,Amboyna Cay,
实龙岗岛,Pulau Serangoon,
帕武武島,Pavuvu,
苏东岛,Pulau Sudong,
科提斯島 (加拿大),Cortes Island,
伊尼沙克島,Inishark,
七島群島,Sjuøyane,
哈德瑟爾島,Hadseløya,
呂島,Lyø,
小塔納加島,Little Tanaga Island,
格里姆賽島 (蘇格蘭),Grimsay,
納爾遜島,Nelsons Island,
長島,Dugi otok,
畢曉普斯島,Q866346,
法爾斯特島,Falster,
四標桿島,Q1112709,
安德烈耶夫島,Q1112689,
雷索夫島,Q1112725,
赫里西島,Chrysi,
哈利法克斯島,Q1569725,
特林達迪島,Trindade,
伍迪島,Woody Island,
克拉倫斯島 (南極洲),Clarence Island,
傑克遜島,Jackson Island,
木岛,Viðoy,
锡罗斯岛,Syros,
乔治王岛,King George Island,
阿西納拉島,Asinara,
安乐岛,Pulau Senang,
钓鱼岛,Uotsuri-shima,
馬丁加西亞島,Martín García Island,
达山岛,Dashandao,
切爾托薩島,La Certosa,
英达岛,Pulau Indah,
帕帕斯朵爾,Papa Stour,
赫舍爾島,Herschel Island,
邦咯岛,Pangkor Island,
平潭岛,Pingtan Island,
科爾德威島,Koldewey Island,
科科岛,Coco Island,
白岛,Kvitøya,
貝爾島,Belle Isle,
米基內斯島,Mykines,
乌曼茨,Ummanz,
加夫多斯岛,Gavdos,
博茲賈島,Bozcaada,
埃勒夫靈內斯島,Ellef Ringnes Island,
尤日內島,Yuzhny Island,
御台場,Odaiba,
薩姆索島,Samsø,
阿倫島,Isle of Arran,
锡弗诺斯岛,Sifnos,
辛克萊爾島,Q1569634,
龍德島,Île Ronde,
泰拜爾蓋島,Tabarca,
卡梅倫島,Cameron Island,
大地離島,Daichibanarijima,
鳩離島,Hatopanarijima,
奧蘭戈群島,Olango Island Group,
大马尔维纳岛,West Falkland,
小尼科巴爾島,Little Nicobar Island,
拉爾斯島,Larsøya,
聖克里斯托巴爾島,San Cristóbal Island,
賴阿特阿島,Raiatea,
麻菜珩,Macaiheng,
塞貝西島,Sebesi,
斯塔羅卡多姆斯基島,Starokadomsky Island,
杨信沙洲,Lankiam Cay,
毛广岛,Pulau Bukom,
哈格邁斯特島,Hagemeister Island,
大坎布雷島,Great Cumbrae,
勞賽島,Rousay,
外斯凱里斯群島,Out Skerries,
昂索國家公園,Ängsö National Park,
施托尔滕霍夫岛,Stoltenhoff Island,
薩默塞特島,"Somerset Island, Bermuda",
凱阿島,Kea,
聖約翰島,Saint John,
得撫島,Urup,
比格島 (哈得遜海峽),Big Island,
石鼓洲,Shek Kwu Chau,
索默塞特岛,Somerset Island,
克列斯托夫島,Q1112650,
普什卡廖夫島,Q1112677,
別克斯島,Vieques,
龜山島,Guishan Island,
口永良部島,Kuchinoerabu Island,
松布雷羅島,"Sombrero, Anguilla",
石巴迪島,Sebatik Island,
畢曉普巖,"Bishop Rock, Isles of Scilly",
克萊爾島,Clare Island,
拉博島,Rabot Island,
楚古爾島,Chugul Island,
楚吉纳达克岛,Chuginadak Island,
海南岛,Hainan Dao,
瓜雷略島,Guarello Island,
格蘭島,Glænø,
莫爾若韋茨島,Morzhovets Island,
馬亞瓜納島,Mayaguana,
安迪基西拉岛,Antikythera,
姆列特島,Mljet,
内格罗斯岛,Negros,
弗洛雷斯島,Flores Island,
帕特里克王子岛,Prince Patrick Island,
昆岛,Kunoy,
斯科派洛斯島,Skopelos,
特塞拉島,Terceira Island,
科尔古耶夫岛,Kolguyev Island,
波羅斯島,Poros,
下地島,Shimoji island,
大膽島,Dadan Island,
赤離島,Akapanarijima,
安诺本岛,Annobón Island,
巴罗岛,Barrow Island,
利連索爾島,Lilienthal Island,
喀里多尼亚岛,Caledonia Island,
大開曼,Grand Cayman,
薩贊島,Sazan Island,
大巴哈马岛,Grand Bahama,
大南角島,Taukihepa / Big South Cape Island,
普拉特島,Île Plate,
普拉特島,Prat Island,
岡納斯科因島,Q1554833,
里馬塔拉島,Rimatara,
克里斯島,Chryse Island,
周防大島,Suo Ōshima,
沃特金斯島,Watkins Island,
