label,riverLabel,countryLabel
卡納加火山,Mount Kanaga,United States of America
佩迪杜山,Monte Perdido,France
佩迪杜山,Monte Perdido,Spain
內姆魯特火山,Nemrut,Turkey
洛子峰,Lhotse,Nepal
瓦茨曼山,Watzmann,Germany
亞伊馬火山,Llaima,Chile
查查科馬尼山,Chachakumani,Bolivia
马卡鲁峰,Makalu,Nepal
塔哈特山,Mount Tahat,Algeria
塔法希島,Tafahi,Tonga
塔胡木耳科火山,Volcán Tajumulco,Guatemala
阿蒂特蘭火山,Volcán Atitlán,Guatemala
聖埃利亞斯山,Mount Saint Elias,Canada
西奈山,Mount Sinai,Egypt
阿林蒂卡火山,Arintica,Chile
馬西索德拉蘭卡瓜火山,Macizo de Larancagua,Bolivia
切維厄特丘陵,Cheviot Hills,United Kingdom
道拉吉里峰,Dhaulagiri,Nepal
斯坦利山,Mount Stanley,Uganda
埃奇克姆火山,Mount Edgecumbe,United States of America
聖埃利亞斯山,Mount Saint Elias,United States of America
斯涅戈沃伊火山,Snegovoy,Russia
葛林芝火山,Kerinci,Indonesia
塔拉納基山,Mount Taranaki,New Zealand
拉寧火山,Lanín,Argentina
拉寧火山,Lanín,Chile
薩卡爾島,Sakar Island,Papua New Guinea
瓊桑峰,Jongsong Peak,People's Republic of China
慕士塔格塔峰,Muztagh Tower,Pakistan
修拉格蘭德山,Siula Grande,Peru
烏里托爾科山,Uritorco,Argentina
诺沙克峰,Noshaq,Pakistan
洛莫諾索夫火山群,Lomonosov Group,Russia
塞梅魯火山,Semeru,Indonesia
诺沙克峰,Noshaq,Afghanistan
赫利孔山,Mount Helicon,Greece
達頓火山,Mount Dutton,United States of America
埃斯塔特斯峰,Pica d'Estats,Spain
奇吉納加克火山,Mount Chiginagak,United States of America
泰山,Mount Tai,People's Republic of China
拉斯·达善峰,Ras Dashen,Ethiopia
伊魯普通庫火山,Irruputuncu,Chile
伊魯普通庫火山,Irruputuncu,Bolivia
奥霍斯-德尔萨拉多山,Ojos del Salado,Chile
吉里加爾波塔山,Kirigalpotta,Sri Lanka
锡安山,Mount Zion,Israel
埃爾阿爾塔火山,El Altar,Ecuador
博內特峰,Cerro Bonete,Argentina
