label,riverLabel,countryLabel
203国道,China National Highway 203,People's Republic of China
17号加州州道,California State Route 17,United States of America
國道1號,National Highway 1,South Korea
85号美国国道,U.S. Route 85,United States of America
美国国道89,U.S. Route 89,United States of America
欧洲E80公路,European route E80,France
欧洲E80公路,European route E80,Turkey
欧洲E80公路,European route E80,Italy
欧洲E80公路,European route E80,Montenegro
欧洲E80公路,European route E80,Portugal
欧洲E80公路,European route E80,Croatia
欧洲E80公路,European route E80,Spain
欧洲E80公路,European route E80,Kosovo
欧洲E80公路,European route E80,Bulgaria
欧洲E80公路,European route E80,Serbia
福爾摩沙高速公路,National Highway 3,Taiwan
A5高速公路 (保加利亞),Lyulin motorway,Bulgaria
A3高速公路 (保加利亞),Maritsa motorway,Bulgaria
A6高速公路 (保加利亞),Struma motorway,Bulgaria
鐘路,Jongno,South Korea
欧洲E77公路,European route E77,Estonia
欧洲E77公路,European route E77,Russia
皇家內陸大道,El Camino Real de Tierra Adentro,Mexico
國道5號,Japan National Route 5,Japan
91A公路,British Columbia Highway 91A,Canada
欧洲E77公路,European route E77,Hungary
希腊7号国道,Greek National Road 7,Greece
欧洲E77公路,European route E77,Latvia
欧洲E77公路,European route E77,Poland
欧洲E77公路,European route E77,Lithuania
皇家內陸大道,El Camino Real de Tierra Adentro,United States of America
M90公路,M90 motorway,United Kingdom
台9線,Provincial Highway 9,Taiwan
滇缅公路,Burma Road,Myanmar
國道2號,National Highway 2,India
中山高速公路,National Highway 1,Taiwan
國道4號,National Highway 4,India
欧洲E1公路,European route E01,United Kingdom
欧洲E1公路,European route E01,Ireland
欧洲E1公路,European route E01,Portugal
大西洋海滨公路,Atlantic Ocean Road,Norway
欧洲E1公路,European route E01,Spain
欧洲E10公路,European route E10,Norway
欧洲E10公路,European route E10,Sweden
84号加利福尼亚州州道,California State Route 84,United States of America
316国道,China National Highway 316,People's Republic of China
文图拉高速公路,Ventura Freeway,United States of America
國道7號,National Highway 44,India
88奧林匹克高速公路,Gwangju–Daegu Expressway,South Korea
