label,cityLabel
倩女幽魂,A Chinese Ghost Story
半夜鬼上床：夢殺,A Nightmare on Elm Street
猫在巴黎,A Cat in Paris
甜蜜劇中劇,A Cock and Bull Story
雷霆萬鈞 (電影),A Sound of Thunder
神探愛倫坡:黑鴉兇殺案,The Raven
壮志千秋,Cimarron
你逃我也逃 (1983年电影),To Be or Not to Be
龍族戰神,The Crow
十面埋伏,House of Flying Daggers
结婚证书,License to Wed
紅色詩篇,Red Psalm
阿呆闖學府,Billy Madison
摯愛無盡,A Single Man
變形金剛：復仇之戰,Transformers: Revenge of the Fallen
時凶感應,Déjà Vu
毁灭者,Eraser
隨風而逝的記憶,A Wind Named Amnesia
指原莉乃製作「第一屆小指祭～偶像臨時總會～」,Yubi Matsuri
鋼琴別戀,The Piano
真实的谎言,True Lies
破曉開戰 (電影),"Tomorrow, When the War Began"
簡‧愛,Jane Eyre
王牌追殺令,Homegrown
金玉盟,An Affair to Remember
飆速青春,Whip It
盖茨堡之役,Gettysburg
亨利五世 (1989年電影),Henry V
伊麗莎白小鎮,Elizabethtown
他傻瓜，誰聰明,Elling
猫女,Catwoman
人工進化,Splice
沙丘,Dune
人獸戰,Feast
陰兒房,Insidious
夢幻街奇緣,Miracle on 34th Street
龍哥你好嘢 (1991年電影),Oscar
珍珠港,Pearl Harbor
玩命對戰,War
來自紅花坂,From Up on Poppy Hill
危急時刻 (1955年電影),The Desperate Hours
一日貴婦,Lady for a Day
祝我生日快樂,Happy Birthday to Me
玩命關頭4,Fast & Furious
激情 (電影),The Passion of Anna
美国派：集体露营,American Pie Presents: Band Camp
絕配殺手,Gigli
蜘蛛巢城,Throne of Blood
關人矮事,Get Shorty
魔鬼孩子王,Kindergarten Cop
女人四十,Summer Snow
伴郎我最High,A Few Best Men
兄弟情人,From Beginning to End
美國派4：美國重逢,American Reunion
