label,cityLabel
美貌的神话,The Beauty Myth
佛羅倫薩法典,Florentine Codex
钱伯斯百科全书,Chambers's Encyclopaedia
丹麦大百科全书,Den Store Danske Encyklopædi
印度之旅,A Passage to India
浮華世界,Vanity Fair
狄康卡近鄉夜話,Evenings on a Farm Near Dikanka
湯姆·龐巴迪歷險記,The Adventures of Tom Bombadil
共產主義黑皮書,The Black Book of Communism
巴西自然史,Historia Naturalis Brasiliae
王者再臨,The Return of the King
鬼磨坊,Krabat
銀翼殺手,Do Androids Dream of Electric Sheep?
刺鳥,The Thorn Birds
午夜之子,Midnight's Children
命運交織的城堡,The Castle of Crossed Destinies
時間機器,The Time Machine
沒有我們的世界,The World Without Us
解释篇,De Interpretatione
开膛手杰克：最终解答,Jack the Ripper: The Final Solution
布拉熱洛納子爵,The Vicomte of Bragelonne: Ten Years Later
金瓶梅,Jin Ping Mei
基輔大公國與東斯拉夫法典,Russkaya Pravda
新天文学,Astronomia nova
The Prestige (小說),The Prestige
智者的科學指南,The Intelligent Man's Guide to Science
莉西的故事,Lisey's Story
國語,Guoyu
和漢三才圖會,Wakan Sansai Zue
夜幕低垂,Nightfall
愛與黑暗的故事 (自傳小說),A Tale of Love and Darkness
紙上城市 (小說),Paper Towns
项目管理知识体系,A Guide to the Project Management Body of Knowledge
宗教學大全,Kitab al-Kafi
基地,Foundation
鹿苑長春,The Yearling
赤裸的午餐,Naked Lunch
福爾摩斯辦案記,The Adventures of Sherlock Holmes
神鬼通牒,The Bourne Ultimatum
三人同舟,Three Men in a Boat
李伯大夢,Rip Van Winkle
哲学研究,Philosophical Investigations
尼羅河謀殺案,Death on the Nile
大众百科,Citizendium
同名書籍,Moneyball
